Ad Library Id,Ad start date,Page Name,Page Link,Page Likes,Page Followers,Address,Contact Number,Contact Email
523341113746900,"Oct 20, 2024",KayKraft,https://www.facebook.com/kaykraftbd/,,,,,,
911551330855338,"Oct 19, 2024",Zartaaz,https://www.facebook.com/zartaaz/,,,,,,
1082976583832705,"Oct 19, 2024",Ebazzer.com.bd,https://www.facebook.com/ebazzer.shop/,,,,,,
528586423384870,"Oct 19, 2024",Difa'S,https://www.facebook.com/difas4u/,,,,,,
1054783313099105,"Oct 19, 2024",Carnelian Clothing,https://www.facebook.com/carnelianclothing/,,,,,,
2835138169983702,"Oct 19, 2024",Mitu's Gallery,https://www.facebook.com/Mitusgallery/,,,,,,
538611199030380,"Oct 19, 2024",Women Express,https://www.facebook.com/WomenExpressBD/,,,,,,
519145917580875,"Oct 19, 2024",Knick-knack Exclusive,https://www.facebook.com/100063905931322/,,,,,,
852276546717099,"Oct 19, 2024",তাঁতিয়ানা::Taatiana,https://www.facebook.com/Taatianashop/,,,,,,
567789882442031,"Oct 19, 2024",Milan Wholesale ESTD. 1977,https://www.facebook.com/Milan.Wholesale/,,,,,,
535751772521491,"Oct 19, 2024",BD Online Shopping,https://www.facebook.com/BDshoping/,,,,,,
1081212336929041,"Oct 19, 2024",Zaynab Collection,https://www.facebook.com/ZaynabCollectionDhaka/,,,,,,
1278533739982931,"Oct 19, 2024",Garmia lifestyle,https://www.facebook.com/garmiabd/,,,,,,
1199331048025206,"Oct 19, 2024",Mollik Borka House,https://www.facebook.com/61558357722909/,,,,,,
441899342246424,"Oct 19, 2024",Prestige bd,https://www.facebook.com/bdprestige/,,,,,,
922606879733204,"Oct 19, 2024",Fashion club,https://www.facebook.com/fashionclub.inn/,,,,,,
1070789317820182,"Oct 18, 2024",Sinha Corporations,https://www.facebook.com/sinhacorporations/,,,,,,
1181875516209867,"Oct 18, 2024",khiyo.bd,,,,,,,
529282169844260,"Oct 19, 2024",Ebazzer.com.bd,https://www.facebook.com/ebazzer.shop/,,,,,,
420914501040804,"Oct 18, 2024",AngoShova-অঙ্গশোভা,https://www.facebook.com/angoshova.com.bd/,,,,,,
1518608455435250,"Oct 18, 2024",BongoPiran-বঙ্গপিরান,https://www.facebook.com/bongopiran/,,,,,,
